   7-   9 7.9E-02 7.9E-02 7.7E-02 7.4E-02 7.1E-02 6.7E-02 6.2E-02 5.8E-02 5.0E-02 4.3E-02 3.9E-02 3.6E-02 3.4E-02   6.6E-01
   9-  11 3.6E-01 3.6E-01 3.4E-01 3.3E-01 3.1E-01 2.8E-01 2.6E-01 2.3E-01 1.9E-01 1.5E-01 1.2E-01 1.1E-01 9.8E-02   2.5E+00
  11-  13 8.3E-01 8.2E-01 7.9E-01 7.5E-01 6.9E-01 6.2E-01 5.5E-01 4.9E-01 3.7E-01 2.8E-01 2.2E-01 1.8E-01 1.6E-01   5.2E+00
  13-  15 1.2E+00 1.1E+00 1.1E+00 1.0E+00 9.3E-01 8.2E-01 7.1E-01 6.1E-01 4.4E-01 3.1E-01 2.3E-01 1.9E-01 1.6E-01   6.4E+00
  15-  17 1.2E+00 1.2E+00 1.1E+00 1.0E+00 9.2E-01 8.0E-01 6.8E-01 5.7E-01 3.9E-01 2.6E-01 1.9E-01 1.4E-01 1.2E-01   5.9E+00
  17-  19 1.1E+00 1.1E+00 1.1E+00 9.6E-01 8.4E-01 7.2E-01 6.0E-01 4.9E-01 3.1E-01 2.0E-01 1.3E-01 1.0E-01 8.4E-02   5.1E+00
  19-  21 1.0E+00 1.0E+00 9.4E-01 8.4E-01 7.3E-01 6.1E-01 4.9E-01 3.9E-01 2.3E-01 1.4E-01 8.9E-02 6.3E-02 5.2E-02   4.1E+00
  21-  23 8.4E-01 8.1E-01 7.5E-01 6.7E-01 5.6E-01 4.6E-01 3.6E-01 2.7E-01 1.5E-01 8.4E-02 5.0E-02 3.4E-02 2.7E-02   3.0E+00
  23-  25 4.8E-01 4.7E-01 4.3E-01 3.7E-01 3.0E-01 2.4E-01 1.8E-01 1.3E-01 6.4E-02 3.3E-02 1.9E-02 1.4E-02 1.2E-02   1.5E+00
  25-  27 5.6E-02 5.3E-02 4.7E-02 3.9E-02 3.0E-02 2.2E-02 1.5E-02 9.9E-03 4.1E-03 1.9E-03 1.1E-03 9.1E-04 8.5E-04   1.4E-01
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
                                                                            proton production cross section (mb) =6.930E+01
                                                                            proton multiplicity (dimensionless)  =2.709E-02
                                                                            proton average energy (MeV)          =1.609E+01
                                                                            proton kerma coefficient (fGym^2)    =5.173E-02
  
                        30-MeV neutrons incident on 208Pb
                        Emission spectrum of *deuterons*
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
ANGLE(deg)    0      10      20      30      40      50      60      70      90     110     130     150     180     ANG-INT
ENERGY                                     Double-differential emission spectra (mb/MeV.sr)                        (mb/MeV)
 (MeV)    ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
   0-   3 5.4E-11 5.5E-11 5.8E-11 6.2E-11 6.9E-11 7.6E-11 8.5E-11 9.5E-11 1.1E-10 1.4E-10 1.6E-10 1.7E-10 1.8E-10   1.5E-09
   3-   5 6.5E-06 6.5E-06 6.4E-06 6.3E-06 6.1E-06 5.9E-06 5.7E-06 5.4E-06 5.0E-06 4.6E-06 4.3E-06 4.2E-06 4.1E-06   6.4E-05
   5-   7 1.8E-04 1.7E-04 1.7E-04 1.7E-04 1.6E-04 1.5E-04 1.5E-04 1.4E-04 1.2E-04 1.1E-04 9.6E-05 8.9E-05 8.5E-05   1.6E-03
   7-   9 5.0E-03 5.0E-03 4.8E-03 4.6E-03 4.4E-03 4.1E-03 3.7E-03 3.4E-03 2.8E-03 2.2E-03 1.9E-03 1.6E-03 1.5E-03   3.7E-02
   9-  11 3.2E-02 3.2E-02 3.1E-02 2.9E-02 2.7E-02 2.4E-02 2.1E-02 1.9E-02 1.4E-02 1.0E-02 8.0E-03 6.6E-03 5.9E-03   2.0E-01
  11-  13 8.1E-02 8.0E-02 7.6E-02 7.1E-02 6.4E-02 5.6E-02 4.8E-02 4.1E-02 2.9E-02 2.0E-02 1.5E-02 1.1E-02 1.0E-02   4.3E-01
  13-  15 1.3E-01 1.3E-01 1.2E-01 1.1E-01 1.0E-01 8.6E-02 7.2E-02 5.9E-02 3.9E-02 2.6E-02 1.8E-02 1.3E-02 1.1E-02   6.2E-01
  15-  17 1.8E-01 1.8E-01 1.7E-01 1.5E-01 1.3E-01 1.1E-01 9.2E-02 7.4E-02 4.5E-02 2.8E-02 1.8E-02 1.3E-02 1.1E-02   7.8E-01
  17-  19 2.5E-01 2.4E-01 2.2E-01 2.0E-01 1.7E-01 1.4E-01 1.1E-01 8.6E-02 4.9E-02 2.8E-02 1.7E-02 1.2E-02 9.5E-03   9.2E-01
  19-  21 3.2E-01 3.1E-01 2.9E-01 2.5E-01 2.1E-01 1.7E-01 1.3E-01 9.7E-02 5.1E-02 2.7E-02 1.5E-02 1.0E-02 7.8E-03   1.1E+00
  21-  23 5.3E-01 5.2E-01 4.7E-01 4.1E-01 3.3E-01 2.5E-01 1.9E-01 1.4E-01 6.9E-02 4.0E-02 3.5E-02 4.0E-02 4.7E-02   1.7E+00
  23-  25 2.4E-01 2.3E-01 2.1E-01 1.7E-01 1.3E-01 9.1E-02 6.2E-02 4.0E-02 1.6E-02 6.1E-03 2.6E-03 1.4E-03 9.3E-04   5.6E-01
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
                                                                          deuteron production cross section (mb) =1.261E+01
                                                                          deuteron multiplicity (dimensionless)  =4.930E-03
                                                                          deuteron average energy (MeV)          =1.859E+01
                                                                          deuteron kerma coefficient (fGym^2)    =1.088E-02
  
                        30-MeV neutrons incident on 208Pb
                        Emission spectrum of    *alphas*
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
ANGLE(deg)    0      10      20      30      40      50      60      70      90     110     130     150     180     ANG-INT
ENERGY                                     Double-differential emission spectra (mb/MeV.sr)                        (mb/MeV)
 (MeV)    ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
   0-   3 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00   0.0E+00
   3-   5 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 2.1E-13 5.3E-12 1.2E-11   1.0E-11
   5-   7 2.3E-07 2.3E-07 2.4E-07 2.4E-07 2.5E-07 2.6E-07 2.8E-07 2.9E-07 3.2E-07 3.4E-07 3.7E-07 3.8E-07 3.9E-07   4.0E-06
   7-   9 1.8E-05 1.8E-05 1.8E-05 1.9E-05 2.0E-05 2.0E-05 2.1E-05 2.2E-05 2.4E-05 2.6E-05 2.7E-05 2.8E-05 2.9E-05   3.0E-04
   9-  11 5.7E-05 5.7E-05 5.7E-05 5.7E-05 5.8E-05 5.9E-05 6.0E-05 6.1E-05 6.4E-05 6.8E-05 7.1E-05 7.4E-05 7.6E-05   8.1E-04
  11-  13 1.6E-04 1.6E-04 1.6E-04 1.7E-04 1.7E-04 1.7E-04 1.8E-04 1.8E-04 2.0E-04 2.2E-04 2.4E-04 2.6E-04 2.7E-04   2.6E-03
  13-  15 6.4E-04 6.4E-04 6.5E-04 6.5E-04 6.6E-04 6.7E-04 6.8E-04 7.0E-04 7.5E-04 8.2E-04 9.0E-04 9.8E-04 1.0E-03   9.8E-03
  15-  17 1.5E-03 1.5E-03 1.5E-03 1.4E-03 1.4E-03 1.4E-03 1.3E-03 1.3E-03 1.3E-03 1.3E-03 1.4E-03 1.5E-03 1.6E-03   1.7E-02
  17-  19 3.3E-03 3.3E-03 3.2E-03 3.2E-03 3.1E-03 3.0E-03 2.9E-03 2.8E-03 2.7E-03 2.7E-03 2.8E-03 2.9E-03 3.0E-03   3.6E-02
  19-  21 8.4E-03 8.3E-03 8.1E-03 7.8E-03 7.4E-03 6.9E-03 6.3E-03 5.8E-03 4.9E-03 4.1E-03 3.6E-03 3.3E-03 3.2E-03   6.5E-02
  21-  23 1.8E-02 1.8E-02 1.8E-02 1.6E-02 1.5E-02 1.4E-02 1.2E-02 1.1E-02 7.9E-03 5.8E-03 4.5E-03 3.7E-03 3.3E-03   1.1E-01
  23-  25 2.9E-02 2.9E-02 2.8E-02 2.6E-02 2.3E-02 2.0E-02 1.7E-02 1.4E-02 9.8E-03 6.6E-03 4.6E-03 3.5E-03 3.0E-03   1.5E-01
  25-  27 3.7E-02 3.7E-02 3.5E-02 3.1E-02 2.8E-02 2.3E-02 1.9E-02 1.6E-02 9.7E-03 5.9E-03 3.8E-03 2.8E-03 2.3E-03   1.6E-01
  27-  29 4.1E-02 4.0E-02 3.7E-02 3.3E-02 2.8E-02 2.3E-02 1.8E-02 1.4E-02 8.0E-03 4.4E-03 2.6E-03 1.8E-03 1.4E-03   1.5E-01
  29-  31 3.9E-02 3.8E-02 3.5E-02 3.0E-02 2.5E-02 2.0E-02 1.5E-02 1.1E-02 5.4E-03 2.7E-03 1.4E-03 8.7E-04 6.5E-04   1.2E-01
  31-  33 3.1E-02 3.0E-02 2.7E-02 2.3E-02 1.8E-02 1.4E-02 9.7E-03 6.6E-03 2.9E-03 1.2E-03 5.6E-04 3.1E-04 2.2E-04   8.2E-02
  33-  35 1.7E-02 1.7E-02 1.5E-02 1.2E-02 8.9E-03 6.2E-03 4.1E-03 2.5E-03 8.8E-04 3.2E-04 1.7E-04 1.6E-04 2.0E-04   3.8E-02
  35-  37 2.2E-03 2.1E-03 1.7E-03 1.3E-03 8.5E-04 5.0E-04 2.7E-04 1.3E-04 2.6E-05 6.8E-06 2.0E-06 9.9E-08 2.4E-08   3.3E-03
  37-  39 1.6E-12 1.3E-12 8.0E-13 2.8E-13 1.9E-14 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00   7.6E-13
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
                                                                             alpha production cross section (mb) =1.906E+00
                                                                             alpha multiplicity (dimensionless)  =7.451E-04
                                                                             alpha average energy (MeV)          =2.585E+01
                                                                             alpha kerma coefficient (fGym^2)    =2.286E-03
  
***************************** A<5 PRODUCTION CROSS SECTION SUMMARY ********************************************************
 neutron prod. cross sec. (mb)=7.414E+03 ;multiplicity=2.898E+00 ;av. energy (MeV)=3.578E+00 ;kerma co. (fGym^2) =0.000E+00
  proton prod. cross sec. (mb)=6.930E+01 ;multiplicity=2.709E-02 ;av. energy (MeV)=1.609E+01 ;kerma co. (fGym^2) =5.173E-02
deuteron prod. cross sec. (mb)=1.261E+01 ;multiplicity=4.930E-03 ;av. energy (MeV)=1.859E+01 ;kerma co. (fGym^2) =1.088E-02
  triton prod. cross sec. (mb)=1.661E+00 ;multiplicity=6.493E-04 ;av. energy (MeV)=1.603E+01 ;kerma co. (fGym^2) =1.235E-03
   alpha prod. cross sec. (mb)=1.906E+00 ;multiplicity=7.451E-04 ;av. energy (MeV)=2.585E+01 ;kerma co. (fGym^2) =2.286E-03
   gamma prod. cross sec. (mb)=1.089E+04 ;multiplicity=4.257E+00 ;av. energy (MeV)=1.109E+00 ;kerma co. (fGym^2) =0.000E+00
******************************** ENERGY DEPOSITION SUMMARY ****************************************************************
Kerma coefficient summary: A<5=6.61E-02; elas. recoil=2.34E-03; nonelas. recoil=1.98E-02; TOTAL KERMA Co.=8.83E-02(fGym^2)
Average fraction of incident energy transferred to secondary ejectiles per nonelastic reaction:
neut.=3.46E-01; prot.=1.45E-02; deut.=3.05E-03; trit.=3.47E-04; alph.=6.42E-04; gamm.=1.57E-01; A>5 recoils=5.57E-03
***************************************************************************************************************************

+++++++++++++++++++++++++++++++++++++++  35-MeV neutrons incident on 208Pb ++++++++++++++++++++++++++++++++++++++++++++++++

Cross section summary information for  35-MeV reactions on 208Pb:
Total cross section      = 4.650E+03 mb
Elastic cross section    = 2.109E+03 mb
Nonelastic cross section = 2.541E+03 mb
  
                        35-MeV neutrons incident on 208Pb
                        Emission spectrum of  *neutrons*
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
ANGLE(deg)    0      10      20      30      40      50      60      70      90     110     130     150     180     ANG-INT
ENERGY                                     Double-differential emission spectra (mb/MeV.sr)                        (mb/MeV)
 (MeV)    ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
   0-   3 1.5E+02 1.5E+02 1.5E+02 1.5E+02 1.5E+02 1.5E+02 1.4E+02 1.4E+02 1.4E+02 1.4E+02 1.4E+02 1.4E+02 1.4E+02   1.8E+03
   3-   5 5.5E+01 5.5E+01 5.4E+01 5.3E+01 5.1E+01 5.0E+01 4.8E+01 4.6E+01 4.3E+01 4.0E+01 3.9E+01 3.8E+01 3.8E+01   5.5E+02
   5-   7 2.0E+01 2.0E+01 2.0E+01 1.9E+01 1.8E+01 1.7E+01 1.6E+01 1.5E+01 1.3E+01 1.2E+01 1.0E+01 9.9E+00 9.5E+00   1.7E+02
   7-   9 1.3E+01 1.3E+01 1.2E+01 1.2E+01 1.1E+01 1.0E+01 9.4E+00 8.6E+00 7.1E+00 5.8E+00 5.0E+00 4.4E+00 4.1E+00   9.4E+01
   9-  11 1.1E+01 1.0E+01 1.0E+01 9.6E+00 9.0E+00 8.2E+00 7.4E+00 6.7E+00 5.3E+00 4.2E+00 3.4E+00 2.9E+00 2.7E+00   7.2E+01
  11-  13 9.5E+00 9.4E+00 9.1E+00 8.5E+00 7.9E+00 7.2E+00 6.4E+00 5.6E+00 4.3E+00 3.3E+00 2.6E+00 2.2E+00 1.9E+00   6.0E+01
  13-  15 9.0E+00 8.8E+00 8.5E+00 8.0E+00 7.3E+00 6.5E+00 5.7E+00 5.0E+00 3.7E+00 2.7E+00 2.1E+00 1.7E+00 1.5E+00   5.3E+01
  15-  17 8.7E+00 8.6E+00 8.2E+00 7.6E+00 6.9E+00 6.1E+00 5.3E+00 4.5E+00 3.2E+00 2.3E+00 1.7E+00 1.3E+00 1.2E+00   4.7E+01
  17-  19 8.5E+00 8.3E+00 7.9E+00 7.3E+00 6.5E+00 5.7E+00 4.8E+00 4.1E+00 2.8E+00 1.9E+00 1.3E+00 1.0E+00 8.9E-01   4.2E+01
  19-  21 8.2E+00 8.1E+00 7.6E+00 6.9E+00 6.1E+00 5.3E+00 4.4E+00 3.6E+00 2.3E+00 1.5E+00 1.0E+00 7.8E-01 6.6E-01   3.8E+01
  21-  23 7.9E+00 7.7E+00 7.2E+00 6.5E+00 5.7E+00 4.8E+00 3.9E+00 3.2E+00 1.9E+00 1.2E+00 7.9E-01 5.7E-01 4.7E-01   3.3E+01
  23-  25 7.5E+00 7.3E+00 6.8E+00 6.1E+00 5.2E+00 4.3E+00 3.5E+00 2.7E+00 1.6E+00 9.2E-01 5.7E-01 4.0E-01 3.3E-01   2.9E+01
  25-  27 6.9E+00 6.8E+00 6.3E+00 5.5E+00 4.6E+00 3.8E+00 2.9E+00 2.2E+00 1.2E+00 6.7E-01 4.0E-01 2.7E-01 2.1E-01   2.4E+01
  27-  29 8.7E+00 8.5E+00 7.8E+00 6.8E+00 5.7E+00 4.5E+00 3.5E+00 2.6E+00 1.4E+00 7.5E-01 4.4E-01 3.0E-01 2.4E-01   2.9E+01
  29-  31 1.1E+01 1.1E+01 9.7E+00 8.3E+00 6.7E+00 5.1E+00 3.7E+00 2.6E+00 1.2E+00 5.7E-01 3.0E-01 1.9E-01 1.6E-01   3.2E+01
  31-  33 7.4E+00 7.1E+00 6.4E+00 5.3E+00 4.1E+00 3.0E+00 2.1E+00 1.4E+00 6.2E-01 2.7E-01 1.3E-01 7.5E-02 5.4E-02   1.9E+01
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
                                                                           neutron production cross section (mb) =7.920E+03
                                                                           neutron multiplicity (dimensionless)  =3.117E+00
                                                                           neutron average energy (MeV)          =4.150E+00
  
                        35-MeV neutrons incident on 208Pb
                        Emission spectrum of   *protons*
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
ANGLE(deg)    0      10      20      30      40      50      60      70      90     110     130     150     180     ANG-INT
ENERGY                                     Double-differential emission spectra (mb/MeV.sr)                        (mb/MeV)
 (MeV)    ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
   0-   3 1.7E-07 1.7E-07 1.7E-07 1.8E-07 1.9E-07 2.1E-07 2.3E-07 2.5E-07 3.1E-07 3.7E-07 4.4E-07 5.1E-07 5.5E-07   4.1E-06
   3-   5 7.0E-04 7.0E-04 6.9E-04 6.9E-04 6.9E-04 6.9E-04 6.9E-04 6.9E-04 7.1E-04 7.4E-04 7.9E-04 8.3E-04 8.6E-04   9.2E-03
   5-   7 8.5E-03 8.5E-03 8.4E-03 8.2E-03 8.0E-03 7.8E-03 7.5E-03 7.3E-03 6.8E-03 6.5E-03 6.4E-03 6.3E-03 6.4E-03   8.8E-02
   7-   9 9.2E-02 9.1E-02 9.0E-02 8.6E-02 8.3E-02 7.8E-02 7.3E-02 6.8E-02 5.8E-02 5.0E-02 4.5E-02 4.1E-02 3.9E-02   7.6E-01
   9-  11 4.6E-01 4.5E-01 4.4E-01 4.2E-01 3.9E-01 3.6E-01 3.3E-01 3.0E-01 2.4E-01 1.9E-01 1.6E-01 1.4E-01 1.3E-01   3.2E+00
  11-  13 1.2E+00 1.1E+00 1.1E+00 1.0E+00 9.6E-01 8.7E-01 7.7E-01 6.8E-01 5.2E-01 3.9E-01 3.1E-01 2.6E-01 2.3E-01   7.2E+00
  13-  15 1.7E+00 1.7E+00 1.6E+00 1.5E+00 1.4E+00 1.2E+00 1.1E+00 9.2E-01 6.6E-01 4.7E-01 3.5E-01 2.8E-01 2.5E-01   9.6E+00
  15-  17 1.9E+00 1.9E+00 1.8E+00 1.6E+00 1.4E+00 1.3E+00 1.1E+00 9.0E-01 6.1E-01 4.1E-01 2.9E-01 2.3E-01 2.0E-01   9.4E+00
  17-  19 1.9E+00 1.9E+00 1.8E+00 1.6E+00 1.4E+00 1.2E+00 1.0E+00 8.3E-01 5.3E-01 3.4E-01 2.3E-01 1.7E-01 1.4E-01   8.7E+00
  19-  21 1.9E+00 1.9E+00 1.8E+00 1.6E+00 1.4E+00 1.2E+00 9.3E-01 7.4E-01 4.5E-01 2.7E-01 1.7E-01 1.2E-01 1.0E-01   7.9E+00
  21-  23 1.9E+00 1.8E+00 1.7E+00 1.5E+00 1.3E+00 1.0E+00 8.2E-01 6.3E-01 3.5E-01 2.0E-01 1.2E-01 8.0E-02 6.3E-02   6.8E+00
  23-  25 1.7E+00 1.7E+00 1.6E+00 1.3E+00 1.1E+00 8.8E-01 6.7E-01 4.9E-01 2.6E-01 1.3E-01 7.3E-02 4.7E-02 3.6E-02   5.6E+00
  25-  27 1.5E+00 1.4E+00 1.3E+00 1.1E+00 9.0E-01 6.9E-01 5.0E-01 3.5E-01 1.7E-01 7.7E-02 3.9E-02 2.4E-02 1.7E-02   4.2E+00
  27-  29 1.1E+00 1.0E+00 9.1E-01 7.6E-01 5.9E-01 4.3E-01 3.0E-01 2.0E-01 8.3E-02 3.4E-02 1.6E-02 8.9E-03 6.5E-03   2.6E+00
  29-  31 3.6E-01 3.4E-01 3.0E-01 2.4E-01 1.8E-01 1.2E-01 7.9E-02 4.8E-02 1.7E-02 7.1E-03 5.3E-03 6.7E-03 8.6E-03   7.6E-01
  31-  33 3.2E-03 3.0E-03 2.5E-03 1.8E-03 1.1E-03 6.1E-04 2.9E-04 1.2E-04 1.0E-05 0.0E+00 0.0E+00 0.0E+00 0.0E+00   4.3E-03
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
                                                                            proton production cross section (mb) =1.340E+02
                                                                            proton multiplicity (dimensionless)  =5.274E-02
                                                                            proton average energy (MeV)          =1.815E+01
                                                                            proton kerma coefficient (fGym^2)    =1.128E-01
  
                        35-MeV neutrons incident on 208Pb
                        Emission spectrum of *deuterons*
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
ANGLE(deg)    0      10      20      30      40      50      60      70      90     110     130     150     180     ANG-INT
ENERGY                                     Double-differential emission spectra (mb/MeV.sr)                        (mb/MeV)
 (MeV)    ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
   0-   3 5.3E-11 5.5E-11 5.8E-11 6.4E-11 7.1E-11 8.1E-11 9.2E-11 1.0E-10 1.3E-10 1.6E-10 1.8E-10 2.0E-10 2.2E-10   1.6E-09
